STG;PEG; UNS;;;;
0.08;0.9;High;;;;
0;0.85;High;;;;
0.18;0.81;High;;;;
0.1;0.9;High;;;;
0.12;0.8;High;;;;
0.09;0.85;High;;;;
0.08;0.56;High;;;;
0.15;0.81;High;;;;
0.18;0.82;High;;;;
0.2;0.78;High;;;;
0.2;0.78;High;;;;
0.13;0.77;High;;;;
0.18;0.9;High;;;;
0.24;0.86;High;;;;
0.18;0.82;High;;;;
0.31;0.75;High;;;;
0.28;0.78;High;;;;
0.325;0.79;High;;;;
0.323;0.8;High;;;;
0.258;0.77;High;;;;
0.299;0.87;High;;;;
0.299;0.84;High;;;;
0.32;0.58;High;;;;
0.329;0.79;High;;;;
0.315;0.7;High;;;;
0.325;0.81;High;;;;
0.325;0.76;High;;;;
0.312;0.5;High;;;;
0.299;0.66;High;;;;
0.48;0.71;High;;;;
0.46;0.65;High;;;;
0.48;0.77;High;;;;
0.49;0.86;High;;;;
0.495;0.83;High;;;;
0.445;0.88;High;;;;
0.43;0.89;High;;;;
0.4;0.9;High;;;;
0.38;0.78;High;;;;
0.41;0.92;High;;;;
0.44;0.85;High;;;;
0.49;0.71;High;;;;
0.44;0.83;High;;;;
0.45;0.55;High;;;;
0.46;0.89;High;;;;
0.495;0.93;High;;;;
0.49;0.47;High;;;;
0.42;0.8;High;;;;
0.4;0.67;High;;;;
0.78;0.75;High;;;;
0.85;0.68;High;;;;
0.9;0.79;High;;;;
0.6;0.58;High;;;;
0.77;0.68;High;;;;
0.88;0.78;High;;;;
0.99;0.69;High;;;;
0.83;0.66;High;;;;
0.66;0.83;High;;;;
0.71;0.86;High;;;;
0.91;0.88;High;;;;
0.89;0.9;High;;;;
0.61;0.58;High;;;;
0.54;0.77;High;;;;
0.66;0.74;High;;;;
0.06;0.33;Low;;;;
0.08;0.24;Low;;;;
0.2;0.25;Low;;;;
0.06;0.3;Low;;;;
0.1;0.33;Low;;;;
0.15;0.29;Low;;;;
0.12;0.2;Low;;;;
0.18;0.28;Low;;;;
0.06;0.25;Low;;;;
0.09;0.25;Low;;;;
0.15;0.24;Low;;;;
0.1;0.16;Low;;;;
0.06;0.29;Low;;;;
0.1;0.26;Low;;;;
0.18;0.33;Low;;;;
0.02;0.1;Low;;;;
0.06;0.25;Low;;;;
0.09;0.05;Low;;;;
0.1;0.26;Low;;;;
0.08;0.1;Low;;;;
0.09;0.01;Low;;;;
0.2;0.28;Low;;;;
0.28;0.32;Low;;;;
0.265;0.1;Low;;;;
0.275;0.3;Low;;;;
0.295;0.28;Low;;;;
0.32;0.24;Low;;;;
0.25;0.26;Low;;;;
0.27;0.25;Low;;;;
0.27;0.28;Low;;;;
0.29;0.18;Low;;;;
0.288;0.24;Low;;;;
0.255;0.15;Low;;;;
0.295;0.19;Low;;;;
0.243;0.29;Low;;;;
0.27;0.26;Low;;;;
0.245;0.27;Low;;;;
0.295;0.1;Low;;;;
0.276;0.33;Low;;;;
0.258;0.3;Low;;;;
0.28;0.13;Low;;;;
0.255;0.25;Low;;;;
0.305;0.333;Low;;;;
0.265;0.28;Low;;;;
0.255;0.14;Low;;;;
0.39;0.34;Low;;;;
0.38;0.26;Low;;;;
0.37;0.1;Low;;;;
0.38;0.3;Low;;;;
0.39;0.29;Low;;;;
0.365;0.35;Low;;;;
0.345;0.13;Low;;;;
0.334;0.3;Low;;;;
0.39;0.14;Low;;;;
0.348;0.18;Low;;;;
0.35;0.16;Low;;;;
0.42;0.25;Low;;;;
0.4;0.16;Low;;;;
0.38;0.3;Low;;;;
0.39;0.19;Low;;;;
0.365;0.18;Low;;;;
0.37;0.3;Low;;;;
0.38;0.2;Low;;;;
0.49;0.21;Low;;;;
0.365;0.25;Low;;;;
0.55;0.29;Low;;;;
0.73;0.26;Low;;;;
0.69;0.29;Low;;;;
0.62;0.15;Low;;;;
0.6;0.3;Low;;;;
0.52;0.3;Low;;;;
0.58;0.3;Low;;;;
0.61;0.24;Low;;;;
0.58;0.21;Low;;;;
0.58;0.31;Low;;;;
0.61;0.28;Low;;;;
0.51;0.23;Low;;;;
0.58;0.3;Low;;;;
0.523;0.22;Low;;;;
0.5;0.2;Low;;;;
0.52;0.25;Low;;;;
0.58;0.29;Low;;;;
0.54;0.19;Low;;;;
